--- base_link Visuals sorted by Max Z ---
Mesh: _3D_ELVM6040V48EH_M17_HD_46.stl     | Visual: 72  | Z bounds: [-0.0984, -0.0796] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_46.stl     | Visual: 101 | Z bounds: [-0.0984, -0.0796] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_12.stl     | Visual: 38  | Z bounds: [-0.0985, -0.0795] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_12.stl     | Visual: 133 | Z bounds: [-0.0985, -0.0795] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_6.stl      | Visual: 32  | Z bounds: [-0.0990, -0.0790] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_6.stl      | Visual: 121 | Z bounds: [-0.0990, -0.0790] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_14.stl     | Visual: 40  | Z bounds: [-0.0833, -0.0788] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_48.stl     | Visual: 74  | Z bounds: [-0.1013, -0.0788] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_44.stl     | Visual: 93  | Z bounds: [-0.0974, -0.0786] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_5.stl      | Visual: 122 | Z bounds: [-0.0975, -0.0785] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_29.stl     | Visual: 55  | Z bounds: [-0.0823, -0.0778] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_36.stl     | Visual: 92  | Z bounds: [-0.0823, -0.0778] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_23.stl     | Visual: 49  | Z bounds: [-0.1003, -0.0778] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_23.stl     | Visual: 126 | Z bounds: [-0.1003, -0.0778] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_18.stl     | Visual: 44  | Z bounds: [-0.1025, -0.0775] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_24.stl     | Visual: 94  | Z bounds: [-0.0813, -0.0768] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_48.stl     | Visual: 96  | Z bounds: [-0.0993, -0.0768] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_3.stl      | Visual: 29  | Z bounds: [-0.1015, -0.0765] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_3.stl      | Visual: 105 | Z bounds: [-0.1015, -0.0765] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_52.stl     | Visual: 78  | Z bounds: [-0.1025, -0.0755] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_18.stl     | Visual: 112 | Z bounds: [-0.1005, -0.0755] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_52.stl     | Visual: 135 | Z bounds: [-0.1025, -0.0755] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_22.stl     | Visual: 48  | Z bounds: [-0.0808, -0.0753] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_30.stl     | Visual: 56  | Z bounds: [-0.0808, -0.0753] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_19.stl     | Visual: 88  | Z bounds: [-0.0808, -0.0753] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_34.stl     | Visual: 110 | Z bounds: [-0.0808, -0.0753] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_45.stl     | Visual: 71  | Z bounds: [-0.0920, -0.0752] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_31.stl     | Visual: 57  | Z bounds: [-0.1040, -0.0740] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_31.stl     | Visual: 116 | Z bounds: [-0.1040, -0.0740] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_9.stl      | Visual: 35  | Z bounds: [-0.0770, -0.0731] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_40.stl     | Visual: 115 | Z bounds: [-0.0770, -0.0731] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_25.stl     | Visual: 51  | Z bounds: [-0.0773, -0.0728] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_54.stl     | Visual: 119 | Z bounds: [-0.0773, -0.0728] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD.stl        | Visual: 26  | Z bounds: [-0.0780, -0.0720] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_38.stl     | Visual: 109 | Z bounds: [-0.0780, -0.0720] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_15.stl     | Visual: 41  | Z bounds: [-0.0958, -0.0703] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_20.stl     | Visual: 46  | Z bounds: [-0.0867, -0.0692] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_11.stl     | Visual: 37  | Z bounds: [-0.0888, -0.0687] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_49.stl     | Visual: 75  | Z bounds: [-0.0886, -0.0665] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_37.stl     | Visual: 63  | Z bounds: [-0.0877, -0.0665] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_2.stl      | Visual: 28  | Z bounds: [-0.0934, -0.0661] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_13.stl     | Visual: 39  | Z bounds: [-0.0664, -0.0625] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_47.stl     | Visual: 86  | Z bounds: [-0.0664, -0.0625] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_10.stl     | Visual: 36  | Z bounds: [-0.0667, -0.0622] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_50.stl     | Visual: 123 | Z bounds: [-0.0667, -0.0622] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_8.stl      | Visual: 34  | Z bounds: [-0.0927, -0.0620] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_7.stl      | Visual: 33  | Z bounds: [-0.0674, -0.0614] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_53.stl     | Visual: 91  | Z bounds: [-0.0674, -0.0614] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_27.stl     | Visual: 53  | Z bounds: [-0.1178, -0.0602] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_27.stl     | Visual: 134 | Z bounds: [-0.1178, -0.0602] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_4.stl      | Visual: 30  | Z bounds: [-0.1190, -0.0590] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_42.stl     | Visual: 68  | Z bounds: [-0.1190, -0.0590] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_4.stl      | Visual: 81  | Z bounds: [-0.1190, -0.0590] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_42.stl     | Visual: 132 | Z bounds: [-0.1190, -0.0590] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: Part_1_2.stl                        | Visual: 12  | Z bounds: [-0.1672, -0.0490] | XYZ: [0.0433357, -0.224049, -0.129728]
Mesh: Part_6.stl                          | Visual: 2   | Z bounds: [-0.0460, -0.0260] | XYZ: [0.0433357, -0.0390452, 0.0414722]
